wordID,word,pos,definition
1,a,prep.,The first letter of the English and of many other alphabets
2,ab,n.,"The fifth month of the Jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with August"
3,abandoned,imp. & p. p.,of Abandon
4,abilities,pl. ,of Ability
5,ability,n.,The quality or state of being able
6,able,superl.,Fit
7,aboriginal,a.,First
8,abortion,n.,The act of giving premature birth
9,about,prep.,Around
10,above,prep.,In or to a higher place
11,abroad,adv.,At large
12,absence,n.,A state of being absent or withdrawn from a place or from companionship
13,absent,a.,Being away from a place
14,absolute,a.,Loosed from any limitation or condition
15,absolutely,adv.,"In an absolute, independent, or unconditional manner"
16,absorption,n.,"The act or process of absorbing or sucking in anything, or of being absorbed and made to disappear"
17,abstract,a.,Withdraw
18,abuse,v. t.,To put to a wrong use
19,academic,a.,Alt
20,academy,n.,"A garden or grove near Athens (so named from the hero Academus), where Plato and his followers held their philosophical conferences"
21,accent,n.,"A superior force of voice or of articulative effort upon some particular syllable of a word or a phrase, distinguishing it from the others"
22,accepted,imp. & p. p.,of Accept
23,accepting,p. pr. & vb. n.,of Accept
24,accept,v. t.,To receive with a consenting mind (something offered)
25,acceptable,a.,"Capable, worthy, or sure of being accepted or received with pleasure"
26,acceptance,n.,The act of accepting
27,access,n.,"A coming to, or near approach"
28,accessibility,n.,"The quality of being accessible, or of admitting approach"
29,accessible,a.,Easy of access or approach
30,accessory,a.,Accompanying as a subordinate
31,accessories,pl. ,of Accessory
32,accident,n.,"Literally, a befalling"
33,accommodate,v. t.,"To render fit, suitable, or correspondent"
34,accommodation,n.,"The act of fitting or adapting, or the state of being fitted or adapted"
35,accompanied,imp. & p. p.,of Accompany
36,accompanying,p. pr. & vb. n.,of Accompany
37,accomplished,imp. & p. p.,of Accomplish
38,accomplish,v. t.,"To complete, as time or distance"
39,according,p. pr. & vb. n.,of Accord
40,accordance,n.,Agreement
41,accordingly,adv.,Agreeably
42,account,n.,A reckoning
43,accounting,p. pr. & vb. n.,of Account
44,accountability,n.,The state of being accountable
45,accredited,imp. & p. p.,of Accredit
46,accreditation,n.,The act of accrediting
47,accuracy,n.,The state of being accurate
48,accurate,a.,"In exact or careful conformity to truth, or to some standard of requirement, the result of care or pains"
49,accurately,adv.,In an accurate manner
50,accused,imp. & p. p.,of Accuse
51,ace,n.,A unit
52,achieved,imp. & p. p.,of Achieve
53,achieving,p. pr. & vb. n.,of Achieve
54,achieve,v. t.,To carry on to a final close
55,achievement,n.,The act of achieving or performing
56,acid,a.,"Sour, sharp, or biting to the taste"
57,acknowledged,imp. & p. p.,of Acknowledge
58,acknowledge,v. t.,To of or admit the knowledge of
59,acne,n.,"A pustular affection of the skin, due to changes in the sebaceous glands"
60,acoustic,a.,"Pertaining to the sense of hearing, the organs of hearing, or the science of sounds"
61,acquired,imp. & p. p.,of Acquire
62,acquire,v. t.,"To gain, usually by one's own exertions"
63,acquisition,n.,The act or process of acquiring
64,acre,n.,Any field of arable or pasture land
65,acrobat,n.,"One who practices rope dancing, high vaulting, or other daring gymnastic feats"
66,across,n.,From side to side
67,acrylic,a.,"Of or containing acryl, the hypothetical radical of which acrolein is the hydride"
68,act,n.,That which is done or doing
69,acting,p. pr. & vb. n.,of Act
